"id","file","tree","x","y","phi","phi.left","phi.right","horizontal.distance","dbh","num.points","num.points.hom","num.points.est","num.points.hom.est","partial.occlusion"
1,"1.txt",1,1.9326625,-20.1374925,4.80806927606891,4.8091013545919,4.81024555474435,20.2300219606026,10.7584327792947,62,55,77.23252915343,21.3113729337596,0
1,"1.txt",2,0.605067500000002,-18.8451475,4.74448529117035,4.74691400014388,4.74805350684687,18.8548585509495,13.7569911783995,53,43,98.7585500644709,27.2512154385124,0
1,"1.txt",3,1.935595,-18.5689925,4.81624806874911,4.81485947762702,4.81625034712888,18.6696122546951,16.5712515621068,59,45,118.961534234091,32.8259821169192,1
1,"1.txt",4,-2.89951,-17.34101,4.54671620463791,4.54432050622972,4.54987743422697,17.5817458194629,14.3776026716691,70,43,103.213789617498,28.4805843671819,0
1,"1.txt",5,-3.67176125,-15.81501625,4.4842680406083,4.48697877363642,4.48834259889568,16.2358014714363,12.1306034919749,15.5,8.5,87.0830544803634,24.0295050619808,0
1,"1.txt",6,9.054455,-8.7748,5.51347103351104,5.50590599747063,5.50754732831107,12.6087378586052,19.5289675886246,14,3,140.194356331119,38.6849199907132,0
1,"1.txt",7,2.1994025,-6.2174375,5.0523983535304,5.04489546241085,5.05921335801944,6.59499055521784,12.4103755713393,459,45,89.0914794730275,24.5837054034343,0
1,"1.txt",8,8.1677475,-7.7635075,5.52315572134099,5.52364463989018,5.52691350580355,11.2687243255975,9.87562614423863,99,40,70.8950457506402,19.5626218085692,1
1,"1.txt",9,9.4682175,-7.0741675,5.64151145448525,5.64312695029689,5.64652564960018,11.8190942311737,15.6283301362875,35,6,112.192499375302,30.9581496393541,1
1,"1.txt",10,7.603515,-6.25863,5.59450298766532,5.5994421122291,5.60143051015204,9.84803989797589,13.9946074393551,41,10,100.464347291452,27.7219093449794,0
1,"1.txt",11,7.5454875,-6.0459125,5.60767531869088,5.59907754915454,5.6016004017622,9.66889029673584,17.1187214964236,39,4,122.891705898511,33.910464976049,0
1,"1.txt",12,5.0239825,-3.5339625,5.67016869484341,5.66679574976662,5.67744223162684,6.14241736710495,15.8574343438836,154,11,113.837190359141,31.4119820245105,1
1,"1.txt",13,-1.829285,-17.901785,4.61055792487585,4.60554940201472,4.60589118490288,17.9950045789783,17.6969490103585,9,7,127.042679766492,35.0558755058933,0
1,"1.txt",14,1.904815,-19.94128,4.80762123946543,4.80370417255949,4.80482966250911,20.0320485278622,14.3995702558433,41,37,103.371490290075,28.5240999412804,0
1,"1.txt",15,2.194925,-19.92257,4.82211922219338,4.82053616639226,4.82162890315314,20.0431158046978,7.72769453606504,37,37,55.4754959006744,15.307785395398,1
1,"1.txt",16,-1.9514475,-17.3592425,4.60044348684664,4.60182547706601,4.60283502210098,17.4685845883135,7.65481184794958,27,19,54.9522863914333,15.1634121229421,1
1,"1.txt",17,-4.170915,-14.668405,4.43535399516932,4.43806300338316,4.43996739746582,15.249873349679,12.3592957039177,78,34,88.724787833945,24.4825213251989,0
1,"1.txt",18,-4.53799625,-13.70214875,4.39256983174402,4.38953323497399,4.39454359121494,14.4340673965474,7.40019872538376,330.5,155,53.1244722650807,14.6590491436732,1
1,"1.txt",19,1.74726,-11.70463,4.86057409832423,4.85316177890928,4.86706270207027,11.8343263832167,34.0773811185813,182,47,244.634361222073,67.5038634829443,1
1,"1.txt",20,2.4384625,-18.9270725,4.84051781772628,4.83460450250226,4.83870548107556,19.0835052541236,27.8413486741996,147,113,199.867194159473,55.1509106155886,1
1,"1.txt",21,2.5508575,-16.1207275,4.86932247447664,4.86983653986061,4.8717535079028,16.3212967963505,8.80736888972772,15,9,63.2262513040028,17.4465116643583,1
1,"1.txt",22,0.637487499999999,-8.0775875,4.791146270782,4.78801100748203,4.79582759230093,8.1027038778924,8.05468654278296,165,23,57.8229028334373,15.9555236621589,0
1,"1.txt",23,9.2651075,-7.2523925,5.61904284459695,5.62089128920911,5.62352951467456,11.7660279602172,9.7525760631268,56,13,70.0116950645541,19.3188719779107,0
1,"1.txt",24,1.097985,-19.38666,4.76896464998483,4.76707872764487,4.7705755030107,19.4177279055976,6.08131384027329,927,766,43.6564747017785,12.0464708787997,1
1,"1.txt",25,1.6001225,-19.7186575,4.79335920238197,4.7958672548196,4.79740821457695,19.7834740532929,16.4415690504179,308,266,118.03057072201,32.569094108574,1
1,"1.txt",26,-2.39067,-17.64499,4.5777218197572,4.57266997887556,4.57607039249788,17.8062060852109,14.8434842390074,46,33,106.558255532714,29.4034488799034,1
1,"1.txt",27,0.1414225,-13.3867625,4.72295294154948,4.72100407941956,4.72471252062479,13.3875094978458,9.28345299660096,18,4,66.643959107535,18.3895863814247,0
1,"1.txt",28,2.4782575,-3.6654975,5.30689669189794,5.29062974678033,5.30779365946898,4.4246618129313,23.8311718562254,197,8,171.078977106086,47.2071538016181,1
1,"1.txt",29,2.9152775,-4.1308525,5.32695201102995,5.30604031077968,5.31805767468455,5.05596531621435,20.7897210485654,133,11,149.24504060342,41.1823457509073,1
1,"1.txt",30,5.1114025,-3.6974825,5.65694028574344,5.64965071477738,5.66826723337803,6.30855073331526,21.4211617612024,225,21,153.778020847648,42.4331662736198,1
